User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3
1001854,P00148042,M,26-35,0,C,2,0,8.0,,
1000983,P00120842,F,26-35,16,C,2,1,8.0,17.0,
1001150,P00022942,F,26-35,20,A,1,0,5.0,8.0,
1005131,P00321742,Q,999,1,B,3,0,,8.0,17.0
1003679,P00105142,Q,26-35,4,Unknown,2,0,,2.0,15.0
1000585,P0097342,M,18-25,1,A,1,0,1.0,15.0,16.0
1003479,P00251542,L,18-25,4,C,2,0,11.0,16.0,
1000556,P00065042,F,26-35,9,B,4+,0,,15.0,
1003242,P00262242,M,51-55,13,C,4+,1,1.0,11.0,16.0
1003693,P00115842,L,26-35,15,Unknown,1,1,,,
1002456,P00249742,Q,999,5,A,1,0,,15.0,18.0
1005458,P00126042,Q,18-25,2,A,1,0,,14.0,
1005916,P00246842,Q,51-55,20,Unknown,1,1,,,
1000755,P00289342,F,36-45,0,B,3,1,5.0,8.0,14.0
1001109,P00025142,Q,999,10,C,1,0,99999.0,16.0,abc
1003929,P00304142,M,26-35,5,B,1,1,5.0,11.0,
1002683,P00111142,M,36-45,7,C,1,1,1.0,15.0,16.0
1002961,P00046742,M,51-55,17,C,4+,1,,2.0,15.0
1002130,P00328342,Q,46-50,0,C,2,1,,,
1001605,P0094842,T,999,0,B,1,0,,8.0,
1005184,P00073642,T,18-25,20,B,4+,1,8.0,,
1005593,P00078142,T,51-55,16,A,1,1,8.0,16.0,
1005880,P00357642,T,26-35,1,A,1,1,99999.0,,
1000438,P0095742,M,18-25,11,A,3,0,4.0,5.0,
1000339,P00322042,L,51-55,7,C,1,1,5.0,8.0,
1003740,P00260042,M,18-25,5,A,1,0,5.0,8.0,
1004098,P00288942,Q,999,7,C,4+,0,,2.0,5.0
1003402,P00355242,Q,999,20,B,4+,0,,8.0,
1004948,P00269942,M,46-50,2,A,1,1,,2.0,
1002263,P00199442,M,26-35,6,C,2,1,,9.0,
1005686,P00339342,L,999,16,Unknown,1,1,,,
1003051,P00187842,T,18-25,17,B,0,0,1.0,16.0,
1001202,P00159542,M,36-45,12,B,0,0,10.0,15.0,16.0
1001645,P00312842,T,18-25,9,B,1,1,,,
1004715,P00005142,,26-35,2,Unknown,3,0,99999.0,,
1003618,P00219842,M,55+,17,A,4+,1,5.0,,
1003161,P00003642,Q,26-35,7,A,2,0,99999.0,,abc
1002414,P00173742,Q,26-35,1,C,4+,1,,5.0,8.0
1001087,P00266642,M,26-35,16,B,1,0,,8.0,9.0
1004137,P00003942,M,26-35,7,C,1,0,,14.0,
1002700,P00153642,M,26-35,7,C,2,1,8.0,,
1005838,P00102342,F,46-50,7,B,0,1,8.0,14.0,17.0
1002731,P00289042,T,36-45,7,C,1,0,8.0,,
1004926,P00078742,T,0-17,10,Unknown,1,0,,8.0,14.0
1002485,P00052542,L,36-45,14,Unknown,3,1,,,
1000245,P00150942,M,36-45,16,B,0,0,,11.0,13.0
1002745,P00033342,F,36-45,1,C,1,0,,14.0,
1002772,P00103042,M,36-45,17,A,3,1,1.0,14.0,
1003840,P00237542,F,26-35,0,B,3,0,1.0,15.0,16.0
1005035,P00190842,F,26-35,17,B,1,1,2.0,5.0,12.0
1001584,P00217942,M,26-35,19,B,4+,0,5.0,,
1004552,P00019342,M,26-35,0,C,1,1,1.0,6.0,15.0
1005980,P00302942,,55+,1,C,3,0,99999.0,,
1005658,P00119642,Q,55+,0,Unknown,3,1,,2.0,8.0
1000396,P00329442,T,26-35,1,Unknown,1,0,,8.0,
1003216,P00033342,L,36-45,1,B,1,0,5.0,14.0,
1004086,P00163242,F,0-17,10,B,2,0,1.0,8.0,14.0
1001297,P00074242,M,26-35,7,A,4+,0,5.0,,
1004387,P00170242,T,18-25,4,B,0,0,2.0,3.0,4.0
1003815,P00282642,M,26-35,17,C,0,0,5.0,,
1004609,P00160942,F,26-35,4,B,0,0,1.0,16.0,
1001912,P00132442,Q,26-35,4,A,1,1,,,
1003521,P00117942,,26-35,0,B,3,0,99999.0,15.0,
1005906,P00174442,F,18-25,4,C,1,1,,,
1005847,P00144242,F,18-25,4,B,2,0,5.0,14.0,
1001422,P00230342,Q,36-45,17,Unknown,3,0,,14.0,
1001218,P00073642,M,55+,15,B,0,1,8.0,,
1003054,P00370342,L,18-25,4,Unknown,1,1,99999.0,,
1000336,P00127842,M,18-25,0,C,4+,0,,2.0,15.0
1004411,P00100942,Q,999,4,A,3,0,99999.0,,abc
1005198,P00041942,F,18-25,4,B,0,0,5.0,18.0,
1001671,P00288542,M,36-45,0,B,2,0,8.0,,
1003790,P00114042,F,26-35,17,A,1,0,5.0,14.0,
1004408,P00272242,L,46-50,2,Unknown,1,1,99999.0,,
1001645,P00324942,F,18-25,9,B,1,1,,,
1004390,P00160942,Q,999,0,Unknown,2,0,,16.0,
1000471,P00070942,M,36-45,7,A,3,0,3.0,5.0,16.0
1001451,P00233842,M,36-45,20,B,0,0,1.0,15.0,
1004422,P00262242,M,26-35,5,A,1,1,1.0,11.0,16.0
1003029,P00001442,M,18-25,4,A,4+,0,,,
1003131,P00326642,F,26-35,2,Unknown,1,1,,,
1002194,P00228442,,26-35,17,C,3,0,99999.0,17.0,
1004715,P00070042,T,26-35,2,B,3,0,1.0,2.0,16.0
1005126,P00156442,M,26-35,11,B,4+,0,8.0,,
1003471,P00239942,L,18-25,4,A,1,0,5.0,14.0,
1004241,P00114442,,36-45,7,Unknown,1,1,99999.0,6.0,
1002796,P00183242,T,26-35,14,B,3,0,99999.0,15.0,
1000566,P00186642,M,26-35,17,A,3,0,,4.0,15.0
1005366,P00070942,T,18-25,12,C,3,0,3.0,5.0,16.0
1002691,P00003242,Q,18-25,4,B,2,0,,15.0,
1005387,P00020342,Q,26-35,1,B,4+,1,,2.0,
1002745,P00185042,Q,36-45,1,C,1,0,,14.0,
1002794,P00115342,Q,999,2,B,1,1,99999.0,8.0,abc
1004958,P00064042,M,18-25,7,B,1,0,3.0,4.0,12.0
1005824,P00114942,M,18-25,12,B,1,0,1.0,15.0,16.0
1002909,P00345642,M,26-35,7,A,1,0,1.0,15.0,16.0
1001273,P00327542,L,36-45,2,C,3,1,5.0,,
1003074,P00361642,M,26-35,0,C,4+,1,5.0,,
1003981,P00112142,F,46-50,0,C,3,1,1.0,2.0,14.0
1005133,P00327842,L,18-25,11,B,0,0,8.0,16.0,
1003909,P00274242,M,18-25,17,A,2,0,1.0,,
1000053,P00090842,Q,26-35,0,B,1,0,,15.0,
1000155,P00251342,T,36-45,12,C,4+,1,,11.0,
1001745,P00312742,,46-50,0,A,4+,1,99999.0,,
1005501,P00003242,L,26-35,2,A,3,0,8.0,15.0,
1005051,P00284242,T,51-55,7,C,0,0,16.0,,
1001072,P00028842,T,36-45,7,C,2,0,,8.0,
1005956,P00126042,Q,999,4,B,2,0,,14.0,
1004489,P00109242,L,18-25,4,B,1,0,6.0,8.0,10.0
1003428,P00303242,M,46-50,1,C,4+,1,5.0,8.0,
1002181,P00129142,L,26-35,0,B,4+,1,1.0,11.0,
1000202,P00220642,L,18-25,4,A,3,0,8.0,,
1000637,P00014642,M,36-45,12,B,2,1,8.0,14.0,17.0
1003201,P00057542,M,46-50,7,B,0,1,,4.0,5.0
1002928,P00115342,M,26-35,2,B,1,1,5.0,8.0,14.0
1005015,P00100642,M,36-45,6,B,2,1,5.0,15.0,
1003853,P00225642,M,26-35,14,B,1,1,,15.0,
1001241,P00151742,Q,999,10,B,1,0,,15.0,16.0
1003029,P00191442,T,18-25,4,A,4+,0,1.0,2.0,15.0
1005854,P00154542,M,46-50,7,B,0,1,,2.0,
1003778,P00240442,Q,26-35,0,B,4+,1,,16.0,
1000889,P00338542,M,46-50,20,A,1,0,1.0,,
1000026,P00174442,M,26-35,7,B,2,1,5.0,,
1001856,P00246742,Q,999,7,C,3,1,,15.0,
1003834,P00051142,M,18-25,2,B,2,0,8.0,,
1000591,P00112342,Q,999,0,C,1,0,,16.0,
1001768,P00285542,M,46-50,16,C,1,1,8.0,,
1005520,P00001742,M,46-50,1,C,0,1,8.0,14.0,
1001088,P00177842,F,0-17,10,A,3,0,,,
1001733,P00090842,M,18-25,14,B,0,1,11.0,15.0,
1004140,P00128442,L,999,0,Unknown,4+,0,99999.0,8.0,abc
1004446,P0096142,L,999,18,Unknown,1,1,99999.0,4.0,abc
1002462,P00057642,M,36-45,1,B,1,0,1.0,15.0,16.0
1002497,P00183242,Q,999,14,A,3,1,,15.0,
1001260,P00255942,L,26-35,17,B,0,0,1.0,16.0,
1000268,P00003942,F,18-25,12,C,1,0,,14.0,
1002143,P00249642,M,18-25,4,B,2,0,3.0,5.0,
1003201,P00085342,T,46-50,7,B,0,1,10.0,13.0,
1002172,P00273542,M,18-25,20,B,2,0,,14.0,
1003789,P00084342,F,26-35,0,A,0,0,,16.0,
1005468,P00045242,M,26-35,12,A,1,0,1.0,8.0,17.0
1005306,P00302642,Q,999,17,B,4+,0,,,
1000166,P00296042,Q,18-25,4,Unknown,1,1,,13.0,16.0
1002810,P00146542,T,0-17,10,B,2,0,,4.0,8.0
1001274,P00088542,M,46-50,7,B,4+,1,,12.0,14.0
1004161,P00203842,M,46-50,0,B,3,1,16.0,,
1004425,P00288542,M,36-45,7,B,1,0,8.0,,
1004298,P00184342,T,999,14,Unknown,1,0,,,
1004967,P00057742,Q,18-25,4,Unknown,0,0,,8.0,18.0
1003650,P00217742,Q,999,0,Unknown,2,0,,14.0,
1005222,P00088542,M,26-35,12,B,1,0,,12.0,14.0
1003411,P00187442,T,18-25,4,A,4+,0,2.0,4.0,5.0
1001232,P00331942,,18-25,4,C,2,0,99999.0,,
1000889,P00368542,M,46-50,20,A,1,0,,15.0,
