User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3
1005584,P00245642,F,51-55,0,Unknown,4+,0,,11.0,12.0
1005598,P00101742,,18-25,4,Unknown,1,0,,14.0,abc
1005605,P00355142,F,18-25,2,Unknown,0,0,,15.0,
1005623,P00115542,M,999,11,Unknown,2,1,,,
1005635,P00105642,F,36-45,9,Unknown,3,1,,,
1005636,P00234542,M,26-35,7,Unknown,0,1,,,
1005645,P00339542,,26-35,2,Unknown,3,0,,,
1005654,P00204342,M,999,4,Unknown,3,1,,16.0,
1005664,P00139542,M,18-25,4,Unknown,4+,0,,,
1005675,P00025442,M,36-45,14,Unknown,2,0,,2.0,9.0
1005682,P00165742,M,18-25,0,Unknown,2,0,,16.0,
1005686,P00000442,,999,16,Unknown,1,1,,8.0,abc
1005692,P0098142,F,26-35,7,Unknown,1,0,,14.0,
1005698,P00014542,M,36-45,14,Unknown,3,0,,,
1005720,P00289842,M,26-35,0,Unknown,0,0,,16.0,
1005722,P00087042,M,999,20,Unknown,2,1,,14.0,16.0
1005734,P00350942,,26-35,14,Unknown,4+,1,,4.0,5.0
1005747,P00210642,M,26-35,0,Unknown,4+,1,,14.0,
1005755,P00167842,F,36-45,2,Unknown,1,0,,,
1005759,P00169642,F,999,1,Unknown,2,0,,,
1005767,P00315542,M,26-35,2,Unknown,0,0,,,
1005776,P00070042,,18-25,12,Unknown,3,1,,2.0,abc
1005788,P00070442,M,26-35,0,Unknown,4+,0,,15.0,
1005795,P00216342,M,999,1,Unknown,1,1,,4.0,5.0
1005795,P00320042,M,26-35,1,Unknown,1,1,,8.0,
1005809,P00265142,M,26-35,7,Unknown,4+,0,,12.0,
1005823,P00057742,,26-35,12,Unknown,1,0,,8.0,18.0
1005824,P00073642,M,999,12,Unknown,1,0,,,
1005831,P00114342,M,26-35,1,Unknown,2,1,,8.0,17.0
1005837,P00045842,M,26-35,7,Unknown,0,1,,14.0,
1005846,P00121342,M,46-50,16,Unknown,1,1,,5.0,18.0
1005854,P00102142,,999,7,Unknown,0,1,,16.0,abc
1005857,P00223142,F,46-50,2,Unknown,2,0,,,
1005874,P00212042,M,26-35,4,Unknown,1,0,,15.0,
1005880,P00110042,M,26-35,1,Unknown,1,1,,14.0,
1005890,P00113242,M,999,20,Unknown,3,0,,6.0,8.0
1005896,P00027042,,26-35,0,Unknown,4+,0,,14.0,
1005916,P00100042,M,51-55,20,Unknown,1,1,,10.0,
1005931,P00289242,F,18-25,7,Unknown,3,0,,8.0,
1005600,P00156442,F,46-50,0,C,1,0,,,
1005605,P00266842,F,18-25,2,A,0,0,5.0,,
1005616,P00126542,M,46-50,1,C,3,0,,,
1005621,P00253042,M,26-35,7,A,1,0,8.0,,
1005623,P00115542,M,999,11,Unknown,2,1,,,
1005625,P00152742,M,26-35,1,C,3,1,5.0,,
1005627,P00004342,M,26-35,0,A,4+,1,8.0,,
1005635,P00105642,F,36-45,9,Unknown,3,1,,,
1005636,P00259142,,999,7,A,0,1,,,abc
1005636,P00313342,M,26-35,7,A,0,1,5.0,,
1005636,P00339342,M,26-35,7,A,0,1,1.0,,
1005636,P00234542,M,26-35,7,Unknown,0,1,,,
1005643,P00298442,F,36-45,1,A,3,1,,,
1005643,P00331942,F,36-45,1,A,3,1,5.0,,
1005643,P00212742,F,999,1,A,3,1,,,
1005645,P00339542,,26-35,2,Unknown,3,0,,,
1005664,P00139542,M,18-25,4,Unknown,4+,0,,,
1005679,P00221142,M,999,2,C,4+,1,,,
1005682,P00021742,M,18-25,0,B,2,0,5.0,,
1005682,P00053542,M,18-25,0,B,2,0,,,
1005684,P00336942,M,18-25,16,A,1,0,5.0,,
1005686,P00280342,M,55+,16,A,1,1,,,
1005689,P00214842,M,26-35,0,B,3,0,,,
1005689,P00111742,M,26-35,0,B,3,0,15.0,,
1005689,P00117742,M,26-35,0,B,3,0,,,
1005689,P00330642,M,26-35,0,B,3,0,5.0,,
1005692,P00250242,F,26-35,7,C,1,0,5.0,,
1005693,P00287442,F,999,4,B,1,0,,,
