User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,gender
1004585,P00112942,M,36-45,7,Unknown,3,0,,16.0,,n
1000524,P00179042,M,18-25,0,Unknown,0,0,,,,n
1004586,P00313042,M,26-35,4,Unknown,4+,0,,14.0,,T
1004452,P00294442,F,26-35,7,Unknown,2,1,,4.0,12.0,L
1003685,P00324442,M,999,5,Unknown,1,1,,13.0,16.0,Q
1004390,P00053142,M,26-35,0,Unknown,2,0,,,,Q
1003036,P00111442,,55+,{error},Unknown,1,0,99999.0,,,n
1000934,P00195342,F,36-45,7,Unknown,0,0,,5.0,,T
1003292,P00148342,F,999,6,Unknown,3,0,,,,Q
1001165,P00058142,M,999,12,Unknown,1,1,,4.0,12.0,Q
1003353,P00233542,M,999,17,Unknown,3,0,,15.0,,L
1001010,P00001142,M,26-35,0,Unknown,1,0,,8.0,14.0,L
1004793,P00274942,F,999,6,Unknown,2,1,,,,L
1005249,P00034042,,999,{error},Unknown,1,1,99999.0,2.0,abc,Q
1000335,P00345742,M,36-45,18,Unknown,0,1,,2.0,15.0,n
1002570,P00102342,,999,{error},Unknown,0,1,99999.0,14.0,abc,L
1002967,P00075542,M,26-35,0,Unknown,1,0,,13.0,,n
1000073,P00266142,,18-25,{error},Unknown,4+,0,99999.0,11.0,abc,T
1003745,P00268342,F,26-35,9,Unknown,4+,0,,,,L
1003380,P00273742,M,51-55,0,Unknown,2,1,,17.0,,n
1003675,P00080342,M,999,7,Unknown,3,0,,6.0,8.0,L
1001870,P00073842,M,55+,13,Unknown,1,0,,15.0,17.0,T
1001608,P00184042,M,26-35,11,Unknown,1,1,,8.0,,L
1003562,P00228142,F,26-35,6,Unknown,4+,0,,,,L
1001146,P00302642,,999,{error},Unknown,2,1,99999.0,,abc,L
1002665,P00124342,M,36-45,11,Unknown,1,0,,,,Q
1005755,P00090842,F,36-45,2,Unknown,1,0,,15.0,,L
1005754,P00148642,,18-25,{error},Unknown,2,0,99999.0,10.0,13.0,T
1003389,P00186642,M,18-25,0,Unknown,0,0,,4.0,15.0,n
1003519,P0099342,F,26-35,14,Unknown,1,1,,8.0,,L
1001425,P00028842,M,0-17,10,Unknown,1,0,,8.0,,L
1000474,P00184942,M,999,17,Unknown,1,0,,8.0,17.0,Q
1002191,P00070042,M,18-25,4,Unknown,4+,0,,2.0,16.0,n
1002350,P00021742,M,999,4,Unknown,1,1,,,,Q
1002422,P00303142,F,51-55,9,Unknown,3,1,,,,Q
1002679,P00000642,,18-25,{error},Unknown,2,0,99999.0,6.0,16.0,n
1001088,P00251842,F,999,10,Unknown,3,0,,15.0,16.0,Q
1000708,P00258742,M,26-35,0,Unknown,2,0,,,,n
1000623,P00110942,M,26-35,17,Unknown,3,1,,2.0,,L
1001544,P00230942,M,26-35,12,Unknown,2,0,,14.0,,T
1002847,P00058142,M,999,4,Unknown,3,0,,4.0,12.0,L
1005369,P00274142,M,26-35,15,Unknown,1,0,,,,L
1002918,P00249842,M,26-35,12,Unknown,2,0,,,,Q
1001408,P00010942,M,26-35,0,Unknown,1,1,,2.0,6.0,Q
1005420,P00053842,F,0-17,19,Unknown,4+,0,,5.0,12.0,L
1002478,P00031042,M,51-55,1,Unknown,0,0,,,,n
1000524,P00179042,M,18-25,0,Unknown,0,0,,,,n
1000193,P00121842,F,46-50,15,C,1,1,5.0,,,n
1003367,P00036442,M,51-55,16,A,1,1,16.0,,,n
1004980,P00120242,M,999,1,B,0,0,,,,Q
1004388,P00156442,M,46-50,3,B,2,1,8.0,,,n
1003519,P00302642,F,26-35,14,A,1,1,16.0,,,L
1004390,P00053142,M,26-35,0,Unknown,2,0,,,,Q
1003036,P00111442,,55+,{error},Unknown,1,0,99999.0,,,n
1003292,P00148342,F,999,6,Unknown,3,0,,,,Q
1004430,P00154242,F,26-35,0,B,1,0,8.0,,,n
1004793,P00274942,F,999,6,Unknown,2,1,,,,L
1005419,P00039942,F,18-25,12,C,3,1,8.0,,,n
1003471,P00021142,,18-25,{error},A,1,0,99999.0,,,n
1005015,P00193442,,999,{error},B,2,1,99999.0,,abc,T
1001996,P00250242,M,36-45,0,C,3,0,5.0,,,n
1004430,P00240142,F,26-35,0,B,1,0,5.0,,,n
1003182,P00362342,M,26-35,12,A,2,1,5.0,,,n
1005528,P00279642,M,51-55,1,C,3,1,7.0,,,n
1003745,P00268342,F,26-35,9,Unknown,4+,0,,,,L
1004367,P00014542,M,999,0,C,1,0,,,,Q
1003562,P00228142,F,26-35,6,Unknown,4+,0,,,,L
1000651,P00211042,M,36-45,7,B,2,0,5.0,,,T
1002015,P00280442,M,18-25,4,B,4+,0,11.0,,,T
1000687,P00302642,F,26-35,7,C,4+,0,16.0,,,n
1001146,P00302642,,999,{error},Unknown,2,1,99999.0,,abc,L
1005788,P00181842,M,26-35,0,A,4+,0,,,,n
1002665,P00124342,M,36-45,11,Unknown,1,0,,,,Q
1004055,P00050242,M,51-55,0,B,4+,1,8.0,,,T
1003058,P00166242,M,18-25,12,C,0,0,,,,Q
1002885,P00021742,F,18-25,1,A,2,0,5.0,,,T
1005176,P00274942,,999,{error},C,3,0,99999.0,,abc,Q
1003410,P00312742,M,36-45,1,B,3,1,,,,T
1000590,P00330642,F,36-45,6,C,1,0,5.0,,,n
1004626,P00189142,M,26-35,14,B,4+,0,,,,Q
1002245,P00351042,M,0-17,10,C,1,0,5.0,,,n
1000462,P00293142,M,18-25,16,C,1,1,5.0,,,L
1002777,P00259142,M,18-25,4,B,2,0,5.0,,,n
1002288,P00112042,M,0-17,10,B,2,0,,,,T
1002350,P00021742,M,999,4,Unknown,1,1,,,,Q
1005026,P00200342,M,26-35,17,B,1,1,16.0,,,n
1002422,P00303142,F,51-55,9,Unknown,3,1,,,,Q
1001679,P00256642,M,999,12,B,4+,1,,,,T
1001113,P00339242,M,18-25,4,B,3,0,,,,T
1003265,P00251442,M,26-35,15,A,1,0,,,,n
1000708,P00258742,M,26-35,0,Unknown,2,0,,,,n
1003713,P0097842,F,26-35,7,B,1,1,5.0,,,n
1005747,P00014242,M,26-35,0,B,4+,1,8.0,,,T
1005727,P00250342,,26-35,{error},C,0,0,99999.0,,,n
1005620,P00192942,M,36-45,14,C,2,1,5.0,,,n
1001354,P00317842,F,26-35,2,B,3,0,8.0,,,n
1001279,P00029942,M,36-45,1,A,2,0,8.0,,,n
1005369,P00274142,M,26-35,15,Unknown,1,0,,,,L
1000442,P00211942,M,26-35,1,A,2,0,8.0,,,n
1002918,P00249842,M,26-35,12,Unknown,2,0,,,,Q
1001926,P00035642,F,0-17,0,B,1,0,8.0,,,n
1001252,P00252642,M,55+,13,C,3,0,8.0,,,n
1001530,P00152742,,26-35,{error},A,1,1,99999.0,,,n
1001321,P00362342,F,26-35,14,C,3,1,5.0,,,n
1000875,P00027142,M,0-17,10,C,4+,0,8.0,,,T
1000425,P00212942,M,26-35,12,B,1,1,5.0,,,n
1004277,P00031742,M,999,16,A,0,0,,,,Q
1004637,P00131642,F,36-45,9,B,0,1,8.0,,,n
1003673,P00003642,M,26-35,2,B,1,0,8.0,,,n
1003713,P00331942,,999,{error},B,1,1,99999.0,,abc,Q
1002478,P00031042,M,51-55,1,Unknown,0,0,,,,n
1004585,P00112942,M,36-45,7,Unknown,3,0,,16.0,,n
1000524,P00179042,M,18-25,0,Unknown,0,0,,,,n
1004586,P00313042,M,26-35,4,Unknown,4+,0,,14.0,,T
1000193,P00121842,F,46-50,15,C,1,1,5.0,,,n
1002993,P00251242,M,999,19,C,1,1,,11.0,,Q
1003641,P00049442,M,999,0,B,1,0,,8.0,,Q
1000010,P00000742,F,36-45,1,B,4+,1,5.0,14.0,,n
1005677,P00084442,M,26-35,1,A,3,0,13.0,16.0,,n
1000101,P00221942,F,18-25,3,A,1,0,1.0,8.0,,L
1003695,P00367442,M,26-35,2,A,2,0,,9.0,,Q
1001172,P00221542,F,26-35,0,A,2,1,,15.0,,n
1003367,P00036442,M,51-55,16,A,1,1,16.0,,,n
1002383,P00227842,F,26-35,14,B,3,0,2.0,5.0,,n
1004980,P00120242,M,999,1,B,0,0,,,,Q
1004388,P00156442,M,46-50,3,B,2,1,8.0,,,n
1003519,P00302642,F,26-35,14,A,1,1,16.0,,,L
1004390,P00053142,M,26-35,0,Unknown,2,0,,,,Q
1003036,P00111442,,55+,{error},Unknown,1,0,99999.0,,,n
1004728,P00184142,M,26-35,19,B,3,0,8.0,14.0,,n
1000934,P00195342,F,36-45,7,Unknown,0,0,,5.0,,T
