User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3
1002824,P00158542,M,18-25,4,C,3,0,,6.0,13.0
1002825,P00116142,F,26-35,20,B,1,1,10.0,13.0,16.0
1002847,P00127442,M,18-25,4,A,3,0,1.0,2.0,15.0
1002849,P00085242,M,46-50,11,A,3,0,8.0,14.0,17.0
1002868,P00358642,M,36-45,12,B,3,0,,11.0,16.0
1002887,P00289942,M,26-35,3,B,3,1,,4.0,5.0
1002888,P00324442,M,26-35,14,B,2,1,11.0,13.0,16.0
1002900,P00110842,M,18-25,12,C,2,1,1.0,2.0,5.0
1002905,P00254242,M,36-45,17,B,1,0,5.0,11.0,12.0
1002909,P00002142,M,26-35,7,A,1,0,1.0,5.0,8.0
1002921,P00016742,M,51-55,1,C,2,0,1.0,15.0,16.0
1002926,P00128142,F,18-25,2,B,1,0,1.0,5.0,18.0
1002935,P00237542,M,26-35,0,B,2,1,,15.0,16.0
1002941,P00277542,M,36-45,12,B,1,1,1.0,6.0,15.0
1002946,P00277442,M,36-45,16,A,0,1,1.0,6.0,15.0
1002955,P00111142,M,36-45,14,C,3,0,1.0,15.0,16.0
1002962,P00247142,M,36-45,3,A,2,0,8.0,15.0,16.0
1002991,P00341342,,51-55,1,A,1,1,,8.0,17.0
1002994,P00158542,M,36-45,5,A,1,1,5.0,6.0,13.0
1003002,P00249742,M,46-50,11,B,0,0,1.0,15.0,18.0
1003013,P00206442,M,46-50,17,B,2,1,,5.0,9.0
1003018,P00058142,M,36-45,0,B,0,0,,4.0,12.0
1003024,P00184942,M,36-45,17,A,4+,0,1.0,8.0,17.0
1003026,P00191642,F,18-25,4,B,1,0,3.0,4.0,12.0
1003026,P00128242,F,18-25,4,B,1,0,,12.0,14.0
1003029,P00014842,M,18-25,4,A,4+,0,1.0,2.0,5.0
1003029,P00303442,M,18-25,4,A,4+,0,,8.0,14.0
1003029,P00044242,M,18-25,4,A,4+,0,2.0,4.0,8.0
1003032,P00085942,M,26-35,0,A,1,1,2.0,4.0,8.0
1003038,P00113142,F,36-45,2,A,1,1,1.0,5.0,12.0
1003039,P00340342,,51-55,3,C,0,1,,8.0,17.0
1003055,P00155442,F,26-35,3,C,1,1,1.0,11.0,15.0
1003069,P00145042,,18-25,4,C,3,1,,2.0,5.0
1003074,P00145042,M,26-35,0,C,4+,1,1.0,2.0,5.0
1003080,P00054242,M,26-35,20,A,4+,1,1.0,6.0,14.0
1003105,P00329542,M,36-45,12,C,4+,1,1.0,15.0,16.0
1003108,P00127942,M,51-55,6,B,1,1,1.0,2.0,5.0
1003108,P00114942,M,51-55,6,B,1,1,,15.0,16.0
1003111,P00158542,M,18-25,4,C,4+,0,,6.0,13.0
1003129,P00057942,M,26-35,7,B,2,0,,2.0,6.0
1003145,P00289942,M,18-25,4,A,2,0,3.0,4.0,5.0
1003169,P00112142,M,51-55,0,C,2,0,1.0,2.0,14.0
1003169,P00345642,M,51-55,0,C,2,0,,15.0,16.0
1003171,P00109242,F,51-55,3,B,1,1,6.0,8.0,10.0
