User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,gender
1000855,P00130742,F,18-25,2,A,2,1,1.0,14.0,17.0,L
1004601,P00062842,M,36-45,14,C,0,0,,2.0,13.0,Q
1001968,P00183342,M,26-35,11,B,2,0,5.0,15.0,18.0,n
1003055,P00105142,F,26-35,3,C,1,1,1.0,2.0,15.0,L
1002225,P00359242,M,26-35,5,B,1,1,1.0,5.0,17.0,n
1003751,P00243942,F,36-45,12,B,4+,0,1.0,2.0,15.0,n
1003709,P00002242,M,26-35,12,C,3,0,,8.0,16.0,n
1000197,P00113342,M,18-25,14,A,3,0,1.0,8.0,17.0,n
1001968,P00016842,M,26-35,11,B,2,0,,2.0,15.0,Q
1001798,P00114942,M,46-50,11,C,2,1,1.0,15.0,16.0,n
1003432,P00110842,M,26-35,12,C,4+,0,1.0,2.0,5.0,n
